type,level,sample,pheno,covs,LRT,Pval,"('V(O)', 'SE')","('V(O)', 'Variance')","('V(O)/Vp', 'SE')","('V(O)/Vp', 'Variance')","('V(e)', 'SE')","('V(e)', 'Variance')","('Vp', 'SE')","('Vp', 'Variance')",df,logL0,n
func,EClevel3_common_clrcheck,174_sample,ASD,age_sex,0,0.5,0.013847,0,0.068135,1.00E-06,0.02138,0.203221,0.022004,0.203221,1,30.771,174
func,EClevel3_common_clrcheck,174_sample,ASD,age_sex_dietPC,0,0.5,0.013936,0,0.070687,1.00E-06,0.02094,0.197143,0.021524,0.197144,1,23.66,174
func,EClevel3_common_clrcheck,174_sample,ASD,no_covs,0,0.5,0.008394,0,0.034386,1.00E-06,0.026238,0.244115,0.026247,0.244115,1,30.623,174
func,EClevel3_common_clrcheck,174_sample,age,no_covs,5.485,0.009592436,1.541969,1.996812,0.088101,0.124698,1.6204,14.016429,1.957614,16.013241,1,-326.671,174
func,EClevel3_common_clrcheck,174_sample,age,sex,5.449,0.009792076,1.603087,2.111594,0.090665,0.131312,1.623433,13.969146,1.992508,16.08074,1,-326.635,174
func,EClevel3_common_clrcheck,174_sample,bmi,age_sex,0.072,0.3939619,0.245563,0.05072,0.020503,0.004238,1.306768,11.917004,1.294617,11.967723,1,-306.113,174
func,EClevel3_common_clrcheck,174_sample,bmi,age_sex_dietPC,0.038,0.4228747,0.240303,0.037555,0.019833,0.003101,1.335343,12.073666,1.321622,12.111221,1,-310.352,174
func,EClevel3_common_clrcheck,174_sample,bmi,no_covs,0,0.5,0.975375,1.60E-05,0.074637,1.00E-06,1.317786,13.068164,1.405108,13.06818,1,-329.435,174
func,EClevel3_common_clrcheck,174_sample,bristol_regroup,age_sex,1.645,0.09981237,0.045745,0.033554,0.053221,0.039818,0.093831,0.809115,0.095483,0.842668,1,-75.345,165
func,EClevel3_common_clrcheck,174_sample,bristol_regroup,age_sex_dietPC,2.485,0.05745194,0.054463,0.048351,0.063149,0.057908,0.092833,0.78661,0.097002,0.834961,1,-81.532,165
func,EClevel3_common_clrcheck,174_sample,bristol_regroup,no_covs,2.109,0.07323289,0.052503,0.044063,0.060022,0.051807,0.093536,0.806461,0.096865,0.850524,1,-70.987,165
func,EClevel3_common_clrcheck,174_sample,cam_probiotic,age_sex,0,0.5,0.003189,0,0.017926,1.00E-06,0.019455,0.177916,0.019241,0.177916,1,53.719,174
func,EClevel3_common_clrcheck,174_sample,cam_probiotic,age_sex_dietPC,0,0.5,0.003393,0,0.018895,1.00E-06,0.019804,0.179583,0.019594,0.179583,1,43.35,174
func,EClevel3_common_clrcheck,174_sample,cam_probiotic,no_covs,0,0.5,0.004068,0,0.022534,1.00E-06,0.019596,0.180524,0.01941,0.180524,1,58.699,174
func,EClevel3_common_clrcheck,174_sample,devq_wisc_msel,age_sex,0,0.5,18.592786,0.00049,0.039473,1.00E-06,53.919876,471.023212,54.211363,471.023702,1,-551.075,154
func,EClevel3_common_clrcheck,174_sample,devq_wisc_msel,age_sex_dietPC,0,0.5,21.55061,0.00049,0.047941,1.00E-06,51.557752,449.520794,52.251825,449.521284,1,-546.684,154
func,EClevel3_common_clrcheck,174_sample,devq_wisc_msel,no_covs,0,0.5,16.452361,0.00049,0.034265,1.00E-06,55.048902,480.147546,54.887085,480.148036,1,-552.878,154
func,EClevel3_common_clrcheck,174_sample,dietPC1,age_sex,0.546,0.2299736,0.202109,0.233809,0.104766,0.133176,0.181259,1.52183,0.227088,1.755639,1,-136.786,174
func,EClevel3_common_clrcheck,174_sample,dietPC1,no_covs,1.314,0.1258151,0.246876,0.340686,0.109202,0.172233,0.1937,1.637361,0.268179,1.978047,1,-140.773,174
func,EClevel3_common_clrcheck,174_sample,dietPC1_preadj,age_sex,0.503,0.2391636,0.205063,0.240182,0.106679,0.137896,0.179201,1.501584,0.227539,1.741765,1,-135.811,174
func,EClevel3_common_clrcheck,174_sample,dietPC1_preadj,no_covs,0.497,0.2403957,0.203058,0.241292,0.106492,0.139953,0.175883,1.482809,0.224777,1.724101,1,-130.501,174
func,EClevel3_common_clrcheck,174_sample,dietPC2,age_sex,0,0.5,0.039325,2.00E-06,0.020526,1.00E-06,0.208597,1.915878,0.20721,1.91588,1,-149.757,174
func,EClevel3_common_clrcheck,174_sample,dietPC2,no_covs,0,0.5,0.038322,2.00E-06,0.020119,1.00E-06,0.206257,1.904777,0.204803,1.904779,1,-145.084,174
func,EClevel3_common_clrcheck,174_sample,dietPC2_preadj,age_sex,0,0.5,0.035164,2.00E-06,0.018791,1.00E-06,0.203792,1.87131,0.202387,1.871312,1,-147.631,174
func,EClevel3_common_clrcheck,174_sample,dietPC2_preadj,no_covs,0,0.5,0.03394,2.00E-06,0.01835,1.00E-06,0.200209,1.84966,0.198877,1.849662,1,-142.46,174
func,EClevel3_common_clrcheck,174_sample,dietPC3,age_sex,0,0.5,0.058487,2.00E-06,0.041095,1.00E-06,0.153494,1.423204,0.153978,1.423206,1,-127.405,174
func,EClevel3_common_clrcheck,174_sample,dietPC3,no_covs,0,0.5,0.090886,2.00E-06,0.068015,1.00E-06,0.140041,1.33626,0.143676,1.336261,1,-125.859,174
func,EClevel3_common_clrcheck,174_sample,dietPC3_preadj,age_sex,0,0.5,0.05209,1.00E-06,0.037424,1.00E-06,0.150907,1.391909,0.150578,1.391911,1,-124.502,174
func,EClevel3_common_clrcheck,174_sample,dietPC3_preadj,no_covs,0,0.5,0.050355,1.00E-06,0.036588,1.00E-06,0.148289,1.376251,0.147976,1.376252,1,-119.06,174
